S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,signal
21.67943201,1.504478583,-9.957743659,6.751678574,-6.002940004,6.80726655,-2.029460507,13.80951079,9.941748116,16.90997423,5.348232178,0.328208976,-8.071477454,Bangla
22.31769307,0.287187067,-9.879318732,7.738653805,-6.140203269,7.362541218,1.890642139,17.39330546,16.32739121,24.91622037,15.66176501,2.796100135,-14.14884135,Bangla
22.53287224,0.758670215,-9.888253742,8.185273017,-5.043288513,8.578439884,0.975401989,15.02972214,13.54107319,22.88758688,13.2706903,3.68129246,-12.62952737,Bangla
22.74392346,0.901886617,-10.1818352,7.861209853,-5.523244112,9.158475408,1.240076174,14.81831407,9.953379545,18.91948726,9.761264546,-0.033846401,-13.06620689,Bangla
22.80538728,1.342649459,-9.418506183,6.871316364,-6.17865298,7.622322932,2.249027822,15.52001206,9.847824249,19.79231109,14.23970278,-0.69824128,-14.18239415,Bangla
22.674705,1.265818039,-9.221745004,4.589382117,-6.261252843,4.691221335,1.219694485,18.94494598,15.72501879,24.34928009,18.44841279,2.717683547,-12.3634742,Bangla
22.64010051,1.561428218,-9.247114689,4.60629203,-6.587539562,3.171879179,-1.951908596,16.8979066,15.44232298,21.96319132,13.56695977,3.632852134,-8.38677335,Bangla
22.42366905,1.792546963,-9.669288187,5.771928035,-3.902156032,8.825821465,0.611879531,14.58514417,10.79766939,20.77657544,10.45144756,2.2732341,-10.62084233,Bangla
22.2250685,1.504928707,-9.690704356,5.984033331,-1.585807876,11.8909021,2.717288155,14.70794185,11.01142841,21.8414704,10.18817135,4.554788121,-11.57857445,Bangla
21.65531763,1.48424317,-9.559117526,4.882316899,-3.505017445,8.172742822,1.362932407,15.85696886,12.11036127,18.55419706,10.14257891,6.186276812,-7.864385825,Bangla
20.60840197,1.864910345,-9.898819604,6.999948432,-5.733352422,7.195825158,-2.654081716,9.281023357,2.910674213,11.03202728,4.628770195,3.82834115,-5.074530248,Bangla
20.21644038,2.354201354,-9.145519807,5.685339717,-5.210598674,6.296287065,-2.401428536,10.46455293,6.015783035,14.2723467,6.974020833,4.293355757,-6.479233288,Bangla
19.45840719,1.101657655,-10.88385548,7.336389984,-7.226090113,7.115181873,-1.907295093,11.83759716,5.99365978,12.77817372,3.354789857,0.132825371,-7.242817736,Bangla
19.40502941,2.37214313,-9.832925508,7.71415135,-6.544964534,7.17467541,-3.559655155,9.305287384,-1.445199953,4.406379971,-2.457766715,-0.081757107,-3.95225268,Bangla
19.66184465,2.919329729,-9.535382596,6.037890083,-7.091386461,5.474004867,-5.792310019,5.435010326,-7.942071797,0.615503167,-0.149124969,3.656952264,-0.569472777,Bangla
21.68507434,0.841652761,-9.879568637,7.428996187,-4.608656119,8.240581257,-1.475020742,13.9371545,11.17562121,22.32292082,10.27831841,1.475009769,-13.71966394,Bangla
21.71130724,0.601147362,-9.871123722,7.601216703,-4.252529344,8.570682734,-0.875272935,15.09023998,13.02185645,23.31115427,9.709748261,0.092769835,-14.75880844,Bangla
21.80402447,0.703265063,-10.00308917,7.326793542,-4.365173012,8.699048322,0.321094652,16.55616983,12.20213516,21.23606796,9.463264102,-1.269836843,-13.55614906,Bangla
21.84038521,0.809536902,-10.16496389,7.562127945,-4.368672034,9.217044215,0.413742733,16.19496108,11.01132824,19.61556219,7.691720865,-1.278013437,-13.11989713,Bangla
22.00546164,2.102675243,-8.949866978,8.109420134,-5.985503486,7.133160657,-1.463253386,10.68784322,7.636042866,16.61118062,9.030306472,4.505785601,-8.105900221,Bangla
22.36033182,2.132708303,-8.532438029,8.694965796,-6.502334159,6.955226544,-0.507539005,10.33285392,8.660226764,18.14590698,11.12332359,3.925205474,-9.289891685,Bangla
22.70636637,1.37105673,-9.012152642,8.542953681,-4.958259233,7.826497766,-1.221500626,13.43514194,10.78205485,19.71361405,7.362207045,-1.364335689,-13.36153996,Bangla
22.98575388,1.122072683,-9.347461813,8.125028211,-5.6709162,6.679374675,-1.41108939,14.18645265,12.49924529,20.67871049,9.170739048,0.141675998,-12.20302247,Bangla
23.20134781,1.323447485,-9.875942185,5.48554228,-4.343400579,6.370562188,-3.432028676,12.53963395,10.11107896,20.90619585,10.43919347,2.828056447,-12.50748601,Bangla
23.24083782,0.917217535,-10.36270925,5.205559533,-3.920985459,7.076667582,-3.337383464,12.28352272,8.53289398,21.01003397,11.00281431,2.100675005,-14.4043608,Bangla
23.2735929,0.823758425,-9.383767489,9.375362825,-7.206083325,7.732600146,3.101660614,14.64385046,12.78798303,21.52653955,16.10829326,3.348067929,-12.7015376,Bangla
23.25027838,0.573964272,-9.729876791,9.088654813,-5.831437749,8.234780716,1.955953952,16.3996607,16.35526035,25.12648503,14.60112946,1.280786739,-14.72354889,Bangla
